Measure	ent_type	partial	strict	exact
correct	53	53	50	53
incorrect	3	0	6	3
partial	0	3	0	0
missed	1	1	1	1
spurious	133	133	133	133
possible	57	57	57	57
actual	189	189	189	189
precision	0.28	0.288	0.265	0.28
recall	0.93	0.956	0.877	0.93
f1	0.431	0.443	0.407	0.431
