Measure	ent_type	partial	strict	exact
correct	11	9	9	9
incorrect	0	0	2	2
partial	0	2	0	0
missed	0	0	0	0
spurious	20	20	20	20
possible	11	11	11	11
actual	31	31	31	31
precision	0.355	0.323	0.29	0.29
recall	1.0	0.909	0.818	0.818
f1	0.524	0.476	0.429	0.429
