Measure	ent_type	partial	strict	exact
correct	195	181	175	181
incorrect	11	0	31	25
partial	0	25	0	0
missed	14	14	14	14
spurious	122	122	122	122
possible	220	220	220	220
actual	328	328	328	328
precision	0.595	0.59	0.534	0.552
recall	0.886	0.88	0.795	0.823
f1	0.712	0.706	0.639	0.661
