Measure	ent_type	partial	strict	exact
correct	33	43	29	43
incorrect	14	0	18	4
partial	0	4	0	0
missed	3	3	3	3
spurious	192	192	192	192
possible	50	50	50	50
actual	239	239	239	239
precision	0.138	0.188	0.121	0.18
recall	0.66	0.9	0.58	0.86
f1	0.228	0.311	0.201	0.298
