Measure	ent_type	partial	strict	exact
correct	19	17	17	17
incorrect	0	0	2	2
partial	0	2	0	0
missed	1	1	1	1
spurious	54	54	54	54
possible	20	20	20	20
actual	73	73	73	73
precision	0.26	0.247	0.233	0.233
recall	0.95	0.9	0.85	0.85
f1	0.409	0.387	0.366	0.366
