Measure	ent_type	partial	strict	exact
correct	2	0	0	0
incorrect	1	0	3	3
partial	0	3	0	0
missed	31	31	31	31
spurious	139	139	139	139
possible	34	34	34	34
actual	142	142	142	142
precision	0.014	0.011	0.0	0.0
recall	0.059	0.044	0.0	0.0
f1	0.023	0.017	0	0
