Measure	ent_type	partial	strict	exact
correct	68	64	60	64
incorrect	5	0	13	9
partial	0	9	0	0
missed	12	12	12	12
spurious	129	129	129	129
possible	85	85	85	85
actual	202	202	202	202
precision	0.337	0.339	0.297	0.317
recall	0.8	0.806	0.706	0.753
f1	0.474	0.477	0.418	0.446
