Measure	ent_type	partial	strict	exact
correct	115	110	99	110
incorrect	14	0	30	19
partial	0	19	0	0
missed	21	21	21	21
spurious	97	97	97	97
possible	150	150	150	150
actual	226	226	226	226
precision	0.509	0.529	0.438	0.487
recall	0.767	0.797	0.66	0.733
f1	0.612	0.636	0.527	0.585
