Measure	ent_type	partial	strict	exact
correct	53	47	47	47
incorrect	0	0	6	6
partial	0	6	0	0
missed	1	1	1	1
spurious	149	149	149	149
possible	54	54	54	54
actual	202	202	202	202
precision	0.262	0.248	0.233	0.233
recall	0.981	0.926	0.87	0.87
f1	0.414	0.391	0.367	0.367
