Measure	ent_type	partial	strict	exact
correct	6	1	0	1
incorrect	2	0	8	7
partial	0	7	0	0
missed	155	155	155	155
spurious	186	186	186	186
possible	163	163	163	163
actual	194	194	194	194
precision	0.031	0.023	0.0	0.005
recall	0.037	0.028	0.0	0.006
f1	0.034	0.025	0	0.006
