Measure	ent_type	partial	strict	exact
correct	21	1	1	1
incorrect	0	0	20	20
partial	0	20	0	0
missed	15	15	15	15
spurious	59	59	59	59
possible	36	36	36	36
actual	80	80	80	80
precision	0.263	0.138	0.013	0.013
recall	0.583	0.306	0.028	0.028
f1	0.362	0.19	0.017	0.017
