Measure	ent_type	partial	strict	exact
correct	84	68	68	68
incorrect	0	0	16	16
partial	0	16	0	0
missed	22	22	22	22
spurious	67	67	67	67
possible	106	106	106	106
actual	151	151	151	151
precision	0.556	0.503	0.45	0.45
recall	0.792	0.717	0.642	0.642
f1	0.654	0.591	0.529	0.529
