Measure	ent_type	partial	strict	exact
correct	30	33	27	33
incorrect	6	0	9	3
partial	0	3	0	0
missed	0	0	0	0
spurious	49	49	49	49
possible	36	36	36	36
actual	85	85	85	85
precision	0.353	0.406	0.318	0.388
recall	0.833	0.958	0.75	0.917
f1	0.496	0.57	0.446	0.545
