Measure	ent_type	partial	strict	exact
correct	153	147	145	147
incorrect	3	0	11	9
partial	0	9	0	0
missed	10	10	10	10
spurious	89	89	89	89
possible	166	166	166	166
actual	245	245	245	245
precision	0.624	0.618	0.592	0.6
recall	0.922	0.913	0.873	0.886
f1	0.745	0.737	0.706	0.715
