Measure	ent_type	partial	strict	exact
correct	68	63	62	63
incorrect	1	0	7	6
partial	0	6	0	0
missed	3	3	3	3
spurious	162	162	162	162
possible	72	72	72	72
actual	231	231	231	231
precision	0.294	0.286	0.268	0.273
recall	0.944	0.917	0.861	0.875
f1	0.449	0.436	0.409	0.416
