Measure	ent_type	partial	strict	exact
correct	41	41	41	41
incorrect	0	0	0	0
partial	0	0	0	0
missed	2	2	2	2
spurious	56	56	56	56
possible	43	43	43	43
actual	97	97	97	97
precision	0.423	0.423	0.423	0.423
recall	0.953	0.953	0.953	0.953
f1	0.586	0.586	0.586	0.586
