Measure	ent_type	partial	strict	exact
correct	8	5	5	5
incorrect	0	0	3	3
partial	0	3	0	0
missed	0	0	0	0
spurious	9	9	9	9
possible	8	8	8	8
actual	17	17	17	17
precision	0.471	0.382	0.294	0.294
recall	1.0	0.812	0.625	0.625
f1	0.64	0.52	0.4	0.4
