Measure	ent_type	partial	strict	exact
correct	16	13	13	13
incorrect	0	0	3	3
partial	0	3	0	0
missed	2	2	2	2
spurious	25	25	25	25
possible	18	18	18	18
actual	41	41	41	41
precision	0.39	0.354	0.317	0.317
recall	0.889	0.806	0.722	0.722
f1	0.542	0.492	0.441	0.441
