Measure	ent_type	partial	strict	exact
correct	35	33	32	33
incorrect	2	0	5	4
partial	0	4	0	0
missed	3	3	3	3
spurious	48	48	48	48
possible	40	40	40	40
actual	85	85	85	85
precision	0.412	0.412	0.376	0.388
recall	0.875	0.875	0.8	0.825
f1	0.56	0.56	0.512	0.528
