Measure	ent_type	partial	strict	exact
correct	86	86	84	86
incorrect	6	0	8	6
partial	0	6	0	0
missed	22	22	22	22
spurious	86	86	86	86
possible	114	114	114	114
actual	178	178	178	178
precision	0.483	0.5	0.472	0.483
recall	0.754	0.781	0.737	0.754
f1	0.589	0.61	0.575	0.589
