Measure	ent_type	partial	strict	exact
correct	10	8	8	8
incorrect	1	0	3	3
partial	0	3	0	0
missed	24	24	24	24
spurious	90	90	90	90
possible	35	35	35	35
actual	101	101	101	101
precision	0.099	0.094	0.079	0.079
recall	0.286	0.271	0.229	0.229
f1	0.147	0.14	0.118	0.118
