Measure	ent_type	partial	strict	exact
correct	13	13	13	13
incorrect	0	0	0	0
partial	0	0	0	0
missed	1	1	1	1
spurious	73	73	73	73
possible	14	14	14	14
actual	86	86	86	86
precision	0.151	0.151	0.151	0.151
recall	0.929	0.929	0.929	0.929
f1	0.26	0.26	0.26	0.26
