Measure	ent_type	partial	strict	exact
correct	33	32	31	32
incorrect	1	0	3	2
partial	0	2	0	0
missed	17	17	17	17
spurious	65	65	65	65
possible	51	51	51	51
actual	99	99	99	99
precision	0.333	0.333	0.313	0.323
recall	0.647	0.647	0.608	0.627
f1	0.44	0.44	0.413	0.427
