Measure	ent_type	partial	strict	exact
correct	10	12	10	12
incorrect	2	0	2	0
partial	0	0	0	0
missed	4	4	4	4
spurious	77	77	77	77
possible	16	16	16	16
actual	89	89	89	89
precision	0.112	0.135	0.112	0.135
recall	0.625	0.75	0.625	0.75
f1	0.19	0.229	0.19	0.229
