Measure	ent_type	partial	strict	exact
correct	99	100	94	100
incorrect	6	0	11	5
partial	0	5	0	0
missed	5	5	5	5
spurious	114	114	114	114
possible	110	110	110	110
actual	219	219	219	219
precision	0.452	0.468	0.429	0.457
recall	0.9	0.932	0.855	0.909
f1	0.602	0.623	0.571	0.608
