Measure	ent_type	partial	strict	exact
correct	9	9	9	9
incorrect	0	0	0	0
partial	0	0	0	0
missed	0	0	0	0
spurious	72	72	72	72
possible	9	9	9	9
actual	81	81	81	81
precision	0.111	0.111	0.111	0.111
recall	1.0	1.0	1.0	1.0
f1	0.2	0.2	0.2	0.2
