Measure	ent_type	partial	strict	exact
correct	18	19	18	19
incorrect	1	0	1	0
partial	0	0	0	0
missed	0	0	0	0
spurious	17	17	17	17
possible	19	19	19	19
actual	36	36	36	36
precision	0.5	0.528	0.5	0.528
recall	0.947	1.0	0.947	1.0
f1	0.655	0.691	0.655	0.691
