Measure	ent_type	partial	strict	exact
correct	42	34	33	34
incorrect	1	0	10	9
partial	0	9	0	0
missed	8	8	8	8
spurious	61	61	61	61
possible	51	51	51	51
actual	104	104	104	104
precision	0.404	0.37	0.317	0.327
recall	0.824	0.755	0.647	0.667
f1	0.542	0.497	0.426	0.439
