Measure	ent_type	partial	strict	exact
correct	20	23	16	23
incorrect	11	0	15	8
partial	0	8	0	0
missed	150	150	150	150
spurious	195	195	195	195
possible	181	181	181	181
actual	226	226	226	226
precision	0.088	0.119	0.071	0.102
recall	0.11	0.149	0.088	0.127
f1	0.098	0.133	0.079	0.113
