Measure	ent_type	partial	strict	exact
correct	23	22	21	22
incorrect	1	0	3	2
partial	0	2	0	0
missed	0	0	0	0
spurious	81	81	81	81
possible	24	24	24	24
actual	105	105	105	105
precision	0.219	0.219	0.2	0.21
recall	0.958	0.958	0.875	0.917
f1	0.357	0.357	0.326	0.341
