Measure	ent_type	partial	strict	exact
correct	158	152	150	152
incorrect	3	0	11	9
partial	0	9	0	0
missed	67	67	67	67
spurious	195	195	195	195
possible	228	228	228	228
actual	356	356	356	356
precision	0.444	0.44	0.421	0.427
recall	0.693	0.686	0.658	0.667
f1	0.541	0.536	0.514	0.521
