Measure	ent_type	partial	strict	exact
correct	26	24	24	24
incorrect	1	0	3	3
partial	0	3	0	0
missed	3	3	3	3
spurious	47	47	47	47
possible	30	30	30	30
actual	74	74	74	74
precision	0.351	0.345	0.324	0.324
recall	0.867	0.85	0.8	0.8
f1	0.5	0.49	0.462	0.462
