Measure	ent_type	partial	strict	exact
correct	2	2	2	2
incorrect	0	0	0	0
partial	0	0	0	0
missed	0	0	0	0
spurious	30	30	30	30
possible	2	2	2	2
actual	32	32	32	32
precision	0.062	0.062	0.062	0.062
recall	1.0	1.0	1.0	1.0
f1	0.118	0.118	0.118	0.118
