Measure	ent_type	partial	strict	exact
correct	92	86	84	86
incorrect	2	0	10	8
partial	0	8	0	0
missed	5	5	5	5
spurious	113	113	113	113
possible	99	99	99	99
actual	207	207	207	207
precision	0.444	0.435	0.406	0.415
recall	0.929	0.909	0.848	0.869
f1	0.601	0.588	0.549	0.562
