Measure	ent_type	partial	strict	exact
correct	63	63	61	63
incorrect	2	0	4	2
partial	0	2	0	0
missed	6	6	6	6
spurious	133	133	133	133
possible	71	71	71	71
actual	198	198	198	198
precision	0.318	0.323	0.308	0.318
recall	0.887	0.901	0.859	0.887
f1	0.468	0.476	0.454	0.468
