Measure	ent_type	partial	strict	exact
correct	24	25	22	25
incorrect	4	0	6	3
partial	0	3	0	0
missed	1	1	1	1
spurious	166	166	166	166
possible	29	29	29	29
actual	194	194	194	194
precision	0.124	0.137	0.113	0.129
recall	0.828	0.914	0.759	0.862
f1	0.215	0.238	0.197	0.224
