Measure	ent_type	partial	strict	exact
correct	29	27	26	27
incorrect	1	0	4	3
partial	0	3	0	0
missed	21	21	21	21
spurious	66	66	66	66
possible	51	51	51	51
actual	96	96	96	96
precision	0.302	0.297	0.271	0.281
recall	0.569	0.559	0.51	0.529
f1	0.395	0.388	0.354	0.367
