Measure	ent_type	partial	strict	exact
correct	1	0	0	0
incorrect	0	0	1	1
partial	0	1	0	0
missed	10	10	10	10
spurious	74	74	74	74
possible	11	11	11	11
actual	75	75	75	75
precision	0.013	0.007	0.0	0.0
recall	0.091	0.045	0.0	0.0
f1	0.023	0.012	0	0
