Measure	ent_type	partial	strict	exact
correct	9	9	9	9
incorrect	0	0	0	0
partial	0	0	0	0
missed	25	25	25	25
spurious	132	132	132	132
possible	34	34	34	34
actual	141	141	141	141
precision	0.064	0.064	0.064	0.064
recall	0.265	0.265	0.265	0.265
f1	0.103	0.103	0.103	0.103
