Measure	ent_type	partial	strict	exact
correct	24	22	18	22
incorrect	5	0	11	7
partial	0	7	0	0
missed	74	74	74	74
spurious	184	184	184	184
possible	103	103	103	103
actual	213	213	213	213
precision	0.113	0.12	0.085	0.103
recall	0.233	0.248	0.175	0.214
f1	0.152	0.161	0.114	0.139
