Measure	ent_type	partial	strict	exact
correct	4	2	2	2
incorrect	0	0	2	2
partial	0	2	0	0
missed	102	102	102	102
spurious	185	185	185	185
possible	106	106	106	106
actual	189	189	189	189
precision	0.021	0.016	0.011	0.011
recall	0.038	0.028	0.019	0.019
f1	0.027	0.02	0.014	0.014
