Measure	ent_type	partial	strict	exact
correct	24	23	22	23
incorrect	2	0	4	3
partial	0	3	0	0
missed	3	3	3	3
spurious	43	43	43	43
possible	29	29	29	29
actual	69	69	69	69
precision	0.348	0.355	0.319	0.333
recall	0.828	0.845	0.759	0.793
f1	0.49	0.5	0.449	0.469
