Measure	ent_type	partial	strict	exact
correct	87	83	80	83
incorrect	3	0	10	7
partial	0	7	0	0
missed	39	39	39	39
spurious	134	134	134	134
possible	129	129	129	129
actual	224	224	224	224
precision	0.388	0.386	0.357	0.371
recall	0.674	0.671	0.62	0.643
f1	0.493	0.49	0.453	0.47
