Measure	ent_type	partial	strict	exact
correct	67	65	64	65
incorrect	1	0	4	3
partial	0	3	0	0
missed	2	2	2	2
spurious	127	127	127	127
possible	70	70	70	70
actual	195	195	195	195
precision	0.344	0.341	0.328	0.333
recall	0.957	0.95	0.914	0.929
f1	0.506	0.502	0.483	0.491
