Measure	ent_type	partial	strict	exact
correct	39	50	32	50
incorrect	20	0	27	9
partial	0	9	0	0
missed	28	28	28	28
spurious	134	134	134	134
possible	87	87	87	87
actual	193	193	193	193
precision	0.202	0.282	0.166	0.259
recall	0.448	0.626	0.368	0.575
f1	0.279	0.389	0.229	0.357
