Measure	ent_type	partial	strict	exact
correct	16	16	16	16
incorrect	0	0	0	0
partial	0	0	0	0
missed	0	0	0	0
spurious	31	31	31	31
possible	16	16	16	16
actual	47	47	47	47
precision	0.34	0.34	0.34	0.34
recall	1.0	1.0	1.0	1.0
f1	0.508	0.508	0.508	0.508
