Measure	ent_type	partial	strict	exact
correct	51	44	44	44
incorrect	0	0	7	7
partial	0	7	0	0
missed	3	3	3	3
spurious	136	136	136	136
possible	54	54	54	54
actual	187	187	187	187
precision	0.273	0.254	0.235	0.235
recall	0.944	0.88	0.815	0.815
f1	0.423	0.394	0.365	0.365
