Measure	ent_type	partial	strict	exact
correct	87	95	85	95
incorrect	10	0	12	2
partial	0	2	0	0
missed	23	23	23	23
spurious	118	118	118	118
possible	120	120	120	120
actual	215	215	215	215
precision	0.405	0.447	0.395	0.442
recall	0.725	0.8	0.708	0.792
f1	0.519	0.573	0.507	0.567
