Measure	ent_type	partial	strict	exact
correct	18	14	14	14
incorrect	0	0	4	4
partial	0	4	0	0
missed	0	0	0	0
spurious	34	34	34	34
possible	18	18	18	18
actual	52	52	52	52
precision	0.346	0.308	0.269	0.269
recall	1.0	0.889	0.778	0.778
f1	0.514	0.457	0.4	0.4
