Measure	ent_type	partial	strict	exact
correct	151	143	138	143
incorrect	5	0	18	13
partial	0	13	0	0
missed	10	10	10	10
spurious	120	120	120	120
possible	166	166	166	166
actual	276	276	276	276
precision	0.547	0.542	0.5	0.518
recall	0.91	0.901	0.831	0.861
f1	0.683	0.676	0.624	0.647
