Measure	ent_type	partial	strict	exact
correct	21	17	17	17
incorrect	0	0	4	4
partial	0	4	0	0
missed	0	0	0	0
spurious	21	21	21	21
possible	21	21	21	21
actual	42	42	42	42
precision	0.5	0.452	0.405	0.405
recall	1.0	0.905	0.81	0.81
f1	0.667	0.603	0.54	0.54
