Measure	ent_type	partial	strict	exact
correct	7	5	5	5
incorrect	0	0	2	2
partial	0	2	0	0
missed	0	0	0	0
spurious	7	7	7	7
possible	7	7	7	7
actual	14	14	14	14
precision	0.5	0.429	0.357	0.357
recall	1.0	0.857	0.714	0.714
f1	0.667	0.571	0.476	0.476
