Measure	ent_type	partial	strict	exact
correct	11	18	11	18
incorrect	7	0	7	0
partial	0	0	0	0
missed	7	7	7	7
spurious	115	115	115	115
possible	25	25	25	25
actual	133	133	133	133
precision	0.083	0.135	0.083	0.135
recall	0.44	0.72	0.44	0.72
f1	0.139	0.228	0.139	0.228
