Measure	ent_type	partial	strict	exact
correct	15	19	15	19
incorrect	4	0	4	0
partial	0	0	0	0
missed	111	111	111	111
spurious	394	394	394	394
possible	130	130	130	130
actual	413	413	413	413
precision	0.036	0.046	0.036	0.046
recall	0.115	0.146	0.115	0.146
f1	0.055	0.07	0.055	0.07
