Measure	ent_type	partial	strict	exact
correct	29	21	21	21
incorrect	0	0	8	8
partial	0	8	0	0
missed	1	1	1	1
spurious	16	16	16	16
possible	30	30	30	30
actual	45	45	45	45
precision	0.644	0.556	0.467	0.467
recall	0.967	0.833	0.7	0.7
f1	0.773	0.667	0.56	0.56
