Measure	ent_type	partial	strict	exact
correct	11	11	11	11
incorrect	0	0	0	0
partial	0	0	0	0
missed	3	3	3	3
spurious	86	86	86	86
possible	14	14	14	14
actual	97	97	97	97
precision	0.113	0.113	0.113	0.113
recall	0.786	0.786	0.786	0.786
f1	0.198	0.198	0.198	0.198
