Measure	ent_type	partial	strict	exact
correct	33	37	31	37
incorrect	6	0	8	2
partial	0	2	0	0
missed	2	2	2	2
spurious	37	37	37	37
possible	41	41	41	41
actual	76	76	76	76
precision	0.434	0.5	0.408	0.487
recall	0.805	0.927	0.756	0.902
f1	0.564	0.65	0.53	0.632
