"Measure	ent_type	partial	strict	exact"
"correct	236		235	223	235"
"incorrect	14		0	27	15"
"partial	0		15	0	0"
"missed		25		25	25	25"
"spurious	138		138	138	138"
"possible	275		275	275	275"
"actual		388		388	388	388"
"precision	0.608		0.625	0.575	0.606"
"recall		0.858		0.882	0.811	0.855"
"f1		0.712		0.732	0.673	0.709"
