Measure	ent_type	partial	strict	exact
correct	80	82	77	82
incorrect	6	0	9	4
partial	0	4	0	0
missed	24	24	24	24
spurious	110	110	110	110
possible	110	110	110	110
actual	196	196	196	196
precision	0.408	0.429	0.393	0.418
recall	0.727	0.764	0.7	0.745
f1	0.523	0.549	0.503	0.536
