Measure	ent_type	partial	strict	exact
correct	6	6	6	6
incorrect	0	0	0	0
partial	0	0	0	0
missed	6	6	6	6
spurious	18	18	18	18
possible	12	12	12	12
actual	24	24	24	24
precision	0.25	0.25	0.25	0.25
recall	0.5	0.5	0.5	0.5
f1	0.333	0.333	0.333	0.333
