,Measure	ent_type	partial	strict	exact
206,actual	195	195	195	195
207,precision	0.026	0.044	0.01	0.031
208,recall	0.027	0.046	0.011	0.032
209,f1	0.026	0.045	0.01	0.031
210,correct	6	4	3	4
211,incorrect	3	0	6	5
212,partial	0	5	0	0
213,missed	143	143	143	143
214,spurious	210	210	210	210
215,possible	152	152	152	152
216,actual	219	219	219	219
217,precision	0.027	0.03	0.014	0.018
218,recall	0.039	0.043	0.02	0.026
219,f1	0.032	0.035	0.016	0.022
220,correct	10	4	3	4
221,incorrect	3	0	10	9
222,partial	0	9	0	0
223,missed	177	177	177	177
224,spurious	228	228	228	228
225,possible	190	190	190	190
226,actual	241	241	241	241
227,precision	0.041	0.035	0.012	0.017
228,recall	0.053	0.045	0.016	0.021
229,f1	0.046	0.039	0.014	0.019
230,correct	15	7	6	7
231,incorrect	3	0	12	11
232,partial	0	11	0	0
233,missed	245	245	245	245
234,spurious	395	395	395	395
235,possible	263	263	263	263
236,actual	413	413	413	413
237,precision	0.036	0.03	0.015	0.017
238,recall	0.057	0.048	0.023	0.027
239,f1	0.044	0.037	0.018	0.021
240,correct	11	8	4	8
241,incorrect	6	0	13	9
242,partial	0	9	0	0
243,missed	136	136	136	136
244,spurious	309	309	309	309
245,possible	153	153	153	153
246,actual	326	326	326	326
247,precision	0.034	0.038	0.012	0.025
248,recall	0.072	0.082	0.026	0.052
249,f1	0.046	0.052	0.017	0.033
250,correct	9	4	3	4
251,incorrect	2	0	8	7
252,partial	0	7	0	0
253,missed	126	126	126	126
254,spurious	228	228	228	228
255,possible	137	137	137	137
256,actual	239	239	239	239
257,precision	0.038	0.031	0.013	0.017
258,recall	0.066	0.055	0.022	0.029
259,f1	0.048	0.04	0.016	0.021
260,correct	3	0	0	0
261,incorrect	2	0	5	5
262,partial	0	5	0	0
263,missed	115	115	115	115
264,spurious	189	189	189	189
265,possible	120	120	120	120
266,actual	194	194	194	194
267,precision	0.015	0.013	0.0	0.0
268,recall	0.025	0.021	0.0	0.0
269,f1	0.019	0.016	0	0
270,correct	0	0	0	0
271,incorrect	1	0	1	1
272,partial	0	1	0	0
273,missed	35	35	35	35
274,spurious	19	19	19	19
275,possible	36	36	36	36
276,actual	20	20	20	20
277,precision	0.0	0.025	0.0	0.0
278,recall	0.0	0.014	0.0	0.0
279,f1	0	0.018	0	0
280,correct	6	4	4	4
281,incorrect	5	0	7	7
282,partial	0	7	0	0
283,missed	180	180	180	180
284,spurious	274	274	274	274
285,possible	191	191	191	191
286,actual	285	285	285	285
287,precision	0.021	0.026	0.014	0.014
288,recall	0.031	0.039	0.021	0.021
289,f1	0.025	0.032	0.017	0.017
290,correct	1	1	1	1
291,incorrect	0	0	0	0
292,partial	0	0	0	0
293,missed	25	25	25	25
294,spurious	13	13	13	13
295,possible	26	26	26	26
296,actual	14	14	14	14
297,precision	0.071	0.071	0.071	0.071
298,recall	0.038	0.038	0.038	0.038
299,f1	0.05	0.05	0.05	0.05
300,correct	6	2	2	2
301,incorrect	4	0	8	8
302,partial	0	8	0	0
303,missed	205	205	205	205
304,spurious	177	177	177	177
305,possible	215	215	215	215
306,actual	187	187	187	187
307,precision	0.032	0.032	0.011	0.011
308,recall	0.028	0.028	0.009	0.009
309,f1	0.03	0.03	0.01	0.01
310,correct	3	1	1	1
311,incorrect	0	0	2	2
312,partial	0	2	0	0
313,missed	74	74	74	74
314,spurious	42	42	42	42
315,possible	77	77	77	77
316,actual	45	45	45	45
317,precision	0.067	0.044	0.022	0.022
318,recall	0.039	0.026	0.013	0.013
319,f1	0.049	0.033	0.016	0.016
320,correct	3	5	2	5
321,incorrect	3	0	4	1
322,partial	0	1	0	0
323,missed	201	201	201	201
324,spurious	77	77	77	77
325,possible	207	207	207	207
326,actual	83	83	83	83
327,precision	0.036	0.066	0.024	0.06
328,recall	0.014	0.027	0.01	0.024
329,f1	0.021	0.038	0.014	0.034
330,correct	1	0	0	0
331,incorrect	0	0	1	1
332,partial	0	1	0	0
333,missed	190	190	190	190
334,spurious	100	100	100	100
335,possible	191	191	191	191
336,actual	101	101	101	101
337,precision	0.01	0.005	0.0	0.0
338,recall	0.005	0.003	0.0	0.0
339,f1	0.007	0.003	0	0
340,correct	0	0	0	0
341,incorrect	0	0	0	0
342,partial	0	0	0	0
343,missed	58	58	58	58
344,spurious	21	21	21	21
345,possible	58	58	58	58
346,actual	21	21	21	21
347,precision	0.0	0.0	0.0	0.0
348,recall	0.0	0.0	0.0	0.0
349,f1	0	0	0	0
350,correct	2	3	0	3
351,incorrect	6	0	8	5
352,partial	0	5	0	0
353,missed	145	145	145	145
354,spurious	234	234	234	234
355,possible	153	153	153	153
356,actual	242	242	242	242
357,precision	0.008	0.023	0.0	0.012
358,recall	0.013	0.036	0.0	0.02
359,f1	0.01	0.028	0	0.015
360,correct	14	4	2	4
361,incorrect	11	0	23	21
362,partial	0	21	0	0
363,missed	160	160	160	160
364,spurious	393	393	393	393
365,possible	185	185	185	185
366,actual	418	418	418	418
367,precision	0.033	0.035	0.005	0.01
368,recall	0.076	0.078	0.011	0.022
369,f1	0.046	0.048	0.007	0.013
370,correct	9	6	4	6
371,incorrect	6	0	11	9
372,partial	0	9	0	0
373,missed	167	167	167	167
374,spurious	181	181	181	181
375,possible	182	182	182	182
376,actual	196	196	196	196
377,precision	0.046	0.054	0.02	0.031
378,recall	0.049	0.058	0.022	0.033
379,f1	0.048	0.056	0.021	0.032
380,correct	0	0	0	0
381,incorrect	1	0	1	1
382,partial	0	1	0	0
383,missed	33	33	33	33
384,spurious	32	32	32	32
385,possible	34	34	34	34
386,actual	33	33	33	33
387,precision	0.0	0.015	0.0	0.0
388,recall	0.0	0.015	0.0	0.0
389,f1	0	0.015	0	0
390,correct	10	4	1	4
391,incorrect	3	0	12	9
392,partial	0	9	0	0
393,missed	171	171	171	171
394,spurious	209	209	209	209
395,possible	184	184	184	184
396,actual	222	222	222	222
397,precision	0.045	0.038	0.005	0.018
398,recall	0.054	0.046	0.005	0.022
399,f1	0.049	0.042	0.005	0.02
400,correct	6	2	1	2
401,incorrect	1	0	6	5
402,partial	0	5	0	0
403,missed	178	178	178	178
404,spurious	186	186	186	186
405,possible	185	185	185	185
406,actual	193	193	193	193
407,precision	0.031	0.023	0.005	0.01
408,recall	0.032	0.024	0.005	0.011
409,f1	0.032	0.024	0.005	0.011
410,correct	5	1	1	1
411,incorrect	2	0	6	6
412,partial	0	6	0	0
413,missed	207	207	207	207
414,spurious	115	115	115	115
415,possible	214	214	214	214
416,actual	122	122	122	122
417,precision	0.041	0.033	0.008	0.008
418,recall	0.023	0.019	0.005	0.005
419,f1	0.03	0.024	0.006	0.006
420,correct	1	0	0	0
421,incorrect	0	0	1	1
422,partial	0	1	0	0
423,missed	53	53	53	53
424,spurious	31	31	31	31
425,possible	54	54	54	54
426,actual	32	32	32	32
427,precision	0.031	0.016	0.0	0.0
428,recall	0.019	0.009	0.0	0.0
429,f1	0.023	0.012	0	0
430,correct	12	8	5	8
431,incorrect	7	0	14	11
432,partial	0	11	0	0
433,missed	165	165	165	165
434,spurious	427	427	427	427
435,possible	184	184	184	184
436,actual	446	446	446	446
437,precision	0.027	0.03	0.011	0.018
438,recall	0.065	0.073	0.027	0.043
439,f1	0.038	0.043	0.016	0.025
440,correct	7	2	2	2
441,incorrect	2	0	7	7
442,partial	0	7	0	0
443,missed	164	164	164	164
444,spurious	198	198	198	198
445,possible	173	173	173	173
446,actual	207	207	207	207
447,precision	0.034	0.027	0.01	0.01
448,recall	0.04	0.032	0.012	0.012
449,f1	0.037	0.029	0.011	0.011
450,correct	9	5	4	5
451,incorrect	5	0	10	9
452,partial	0	9	0	0
453,missed	168	168	168	168
454,spurious	210	210	210	210
455,possible	182	182	182	182
456,actual	224	224	224	224
457,precision	0.04	0.042	0.018	0.022
458,recall	0.049	0.052	0.022	0.027
459,f1	0.044	0.047	0.02	0.025
460,correct	5	2	1	2
461,incorrect	3	0	7	6
462,partial	0	6	0	0
463,missed	148	148	148	148
464,spurious	140	140	140	140
465,possible	156	156	156	156
466,actual	148	148	148	148
467,precision	0.034	0.034	0.007	0.014
468,recall	0.032	0.032	0.006	0.013
469,f1	0.033	0.033	0.007	0.013
470,correct	0	0	0	0
471,incorrect	0	0	0	0
472,partial	0	0	0	0
473,missed	58	58	58	58
474,spurious	76	76	76	76
475,possible	58	58	58	58
476,actual	76	76	76	76
477,precision	0.0	0.0	0.0	0.0
478,recall	0.0	0.0	0.0	0.0
479,f1	0	0	0	0
480,correct	3	4	2	4
481,incorrect	7	0	8	6
482,partial	0	6	0	0
483,missed	180	180	180	180
484,spurious	318	318	318	318
485,possible	190	190	190	190
486,actual	328	328	328	328
487,precision	0.009	0.021	0.006	0.012
488,recall	0.016	0.037	0.011	0.021
489,f1	0.012	0.027	0.008	0.015
490,correct	0	0	0	0
491,incorrect	0	0	0	0
492,partial	0	0	0	0
493,missed	44	44	44	44
494,spurious	27	27	27	27
495,possible	44	44	44	44
496,actual	27	27	27	27
497,precision	0.0	0.0	0.0	0.0
498,recall	0.0	0.0	0.0	0.0
499,f1	0	0	0	0
500,correct	1	0	0	0
501,incorrect	1	0	2	2
502,partial	0	2	0	0
503,missed	188	188	188	188
504,spurious	99	99	99	99
505,possible	190	190	190	190
506,actual	101	101	101	101
507,precision	0.01	0.01	0.0	0.0
508,recall	0.005	0.005	0.0	0.0
509,f1	0.007	0.007	0	0
510,correct	1	1	1	1
511,incorrect	0	0	0	0
512,partial	0	0	0	0
513,missed	70	70	70	70
514,spurious	26	26	26	26
515,possible	71	71	71	71
516,actual	27	27	27	27
517,precision	0.037	0.037	0.037	0.037
518,recall	0.014	0.014	0.014	0.014
519,f1	0.02	0.02	0.02	0.02
520,correct	3	4	3	4
521,incorrect	3	0	3	2
522,partial	0	2	0	0
523,missed	222	222	222	222
524,spurious	91	91	91	91
525,possible	228	228	228	228
526,actual	97	97	97	97
527,precision	0.031	0.052	0.031	0.041
528,recall	0.013	0.022	0.013	0.018
529,f1	0.018	0.031	0.018	0.025
530,correct	3	2	1	2
531,incorrect	2	0	4	3
532,partial	0	3	0	0
533,missed	88	88	88	88
534,spurious	50	50	50	50
535,possible	93	93	93	93
536,actual	55	55	55	55
537,precision	0.055	0.064	0.018	0.036
538,recall	0.032	0.038	0.011	0.022
539,f1	0.041	0.047	0.014	0.027
540,correct	2	3	2	3
541,incorrect	2	0	2	1
542,partial	0	1	0	0
543,missed	147	147	147	147
544,spurious	83	83	83	83
545,possible	151	151	151	151
546,actual	87	87	87	87
547,precision	0.023	0.04	0.023	0.034
548,recall	0.013	0.023	0.013	0.02
549,f1	0.017	0.029	0.017	0.025
550,correct	2	0	0	0
551,incorrect	0	0	2	2
552,partial	0	2	0	0
553,missed	128	128	128	128
554,spurious	121	121	121	121
555,possible	130	130	130	130
556,actual	123	123	123	123
557,precision	0.016	0.008	0.0	0.0
558,recall	0.015	0.008	0.0	0.0
559,f1	0.016	0.008	0	0
560,correct	1	1	0	1
561,incorrect	1	0	2	1
562,partial	0	1	0	0
563,missed	149	149	149	149
564,spurious	83	83	83	83
565,possible	151	151	151	151
566,actual	85	85	85	85
567,precision	0.012	0.018	0.0	0.012
568,recall	0.007	0.01	0.0	0.007
569,f1	0.008	0.013	0	0.008
570,correct	4	2	2	2
571,incorrect	0	0	2	2
572,partial	0	2	0	0
573,missed	49	49	49	49
574,spurious	65	65	65	65
575,possible	53	53	53	53
576,actual	69	69	69	69
577,precision	0.058	0.043	0.029	0.029
578,recall	0.075	0.057	0.038	0.038
579,f1	0.066	0.049	0.033	0.033
580,correct	0	0	0	0
581,incorrect	0	0	0	0
582,partial	0	0	0	0
583,missed	45	45	45	45
584,spurious	39	39	39	39
585,possible	45	45	45	45
586,actual	39	39	39	39
587,precision	0.0	0.0	0.0	0.0
588,recall	0.0	0.0	0.0	0.0
589,f1	0	0	0	0
590,correct	3	3	2	3
591,incorrect	4	0	5	4
592,partial	0	4	0	0
593,missed	188	188	188	188
594,spurious	161	161	161	161
595,possible	195	195	195	195
596,actual	168	168	168	168
597,precision	0.018	0.03	0.012	0.018
598,recall	0.015	0.026	0.01	0.015
599,f1	0.017	0.028	0.011	0.017
600,correct	8	4	4	4
601,incorrect	0	0	4	4
602,partial	0	4	0	0
603,missed	178	178	178	178
604,spurious	190	190	190	190
605,possible	186	186	186	186
606,actual	198	198	198	198
607,precision	0.04	0.03	0.02	0.02
608,recall	0.043	0.032	0.022	0.022
609,f1	0.042	0.031	0.021	0.021
610,correct	6	3	1	3
611,incorrect	5	0	10	8
612,partial	0	8	0	0
613,missed	175	175	175	175
614,spurious	180	180	180	180
615,possible	186	186	186	186
616,actual	191	191	191	191
617,precision	0.031	0.037	0.005	0.016
618,recall	0.032	0.038	0.005	0.016
619,f1	0.032	0.037	0.005	0.016
620,correct	2	2	1	2
621,incorrect	1	0	2	1
622,partial	0	1	0	0
623,missed	98	98	98	98
624,spurious	44	44	44	44
625,possible	101	101	101	101
626,actual	47	47	47	47
627,precision	0.043	0.053	0.021	0.043
628,recall	0.02	0.025	0.01	0.02
629,f1	0.027	0.034	0.014	0.027
630,correct	2	0	0	0
631,incorrect	1	0	3	3
632,partial	0	3	0	0
633,missed	154	154	154	154
634,spurious	69	69	69	69
635,possible	157	157	157	157
636,actual	72	72	72	72
637,precision	0.028	0.021	0.0	0.0
638,recall	0.013	0.01	0.0	0.0
639,f1	0.017	0.013	0	0
640,correct	6	0	0	0
641,incorrect	2	0	8	8
642,partial	0	8	0	0
643,missed	216	216	216	216
644,spurious	218	218	218	218
645,possible	224	224	224	224
646,actual	226	226	226	226
647,precision	0.027	0.018	0.0	0.0
648,recall	0.027	0.018	0.0	0.0
649,f1	0.027	0.018	0	0
650,correct	5	3	3	3
651,incorrect	0	0	2	2
652,partial	0	2	0	0
653,missed	143	143	143	143
654,spurious	152	152	152	152
655,possible	148	148	148	148
656,actual	157	157	157	157
657,precision	0.032	0.025	0.019	0.019
658,recall	0.034	0.027	0.02	0.02
659,f1	0.033	0.026	0.02	0.02
660,correct	3	0	0	0
