,Measure	ent_type	partial	strict	exact
889,f1	0.035	0.027	0.018	0.018
890,correct	3	2	2	2
891,incorrect	6	0	7	7
892,partial	0	7	0	0
893,missed	160	160	160	160
894,spurious	111	111	111	111
895,possible	169	169	169	169
896,actual	120	120	120	120
897,precision	0.025	0.046	0.017	0.017
898,recall	0.018	0.033	0.012	0.012
899,f1	0.021	0.038	0.014	0.014
900,correct	9	7	2	7
901,incorrect	6	0	13	8
902,partial	0	8	0	0
903,missed	207	207	207	207
904,spurious	333	333	333	333
905,possible	222	222	222	222
906,actual	348	348	348	348
907,precision	0.026	0.032	0.006	0.02
908,recall	0.041	0.05	0.009	0.032
909,f1	0.032	0.039	0.007	0.025
910,correct	1	2	0	2
911,incorrect	2	0	3	1
912,partial	0	1	0	0
913,missed	111	111	111	111
914,spurious	70	70	70	70
915,possible	114	114	114	114
916,actual	73	73	73	73
917,precision	0.014	0.034	0.0	0.027
918,recall	0.009	0.022	0.0	0.018
919,f1	0.011	0.027	0	0.021
920,correct	2	0	0	0
921,incorrect	1	0	3	3
922,partial	0	3	0	0
923,missed	65	65	65	65
924,spurious	28	28	28	28
925,possible	68	68	68	68
926,actual	31	31	31	31
927,precision	0.065	0.048	0.0	0.0
928,recall	0.029	0.022	0.0	0.0
929,f1	0.04	0.03	0	0
930,correct	6	1	0	1
931,incorrect	5	0	11	10
932,partial	0	10	0	0
933,missed	110	110	110	110
934,spurious	159	159	159	159
935,possible	121	121	121	121
936,actual	170	170	170	170
937,precision	0.035	0.035	0.0	0.006
938,recall	0.05	0.05	0.0	0.008
939,f1	0.041	0.041	0	0.007
940,correct	7	4	3	4
941,incorrect	5	0	9	8
942,partial	0	8	0	0
943,missed	158	158	158	158
944,spurious	211	211	211	211
945,possible	170	170	170	170
946,actual	223	223	223	223
947,precision	0.031	0.036	0.013	0.018
948,recall	0.041	0.047	0.018	0.024
949,f1	0.036	0.041	0.015	0.02
950,correct	6	1	1	1
951,incorrect	2	0	7	7
952,partial	0	7	0	0
953,missed	164	164	164	164
954,spurious	268	268	268	268
955,possible	172	172	172	172
956,actual	276	276	276	276
957,precision	0.022	0.016	0.004	0.004
958,recall	0.035	0.026	0.006	0.006
959,f1	0.027	0.02	0.004	0.004
960,correct	3	1	1	1
961,incorrect	2	0	4	4
962,partial	0	4	0	0
963,missed	113	113	113	113
964,spurious	109	109	109	109
965,possible	118	118	118	118
966,actual	114	114	114	114
967,precision	0.026	0.026	0.009	0.009
968,recall	0.025	0.025	0.008	0.008
969,f1	0.026	0.026	0.009	0.009
970,correct	204	222	190	222
971,incorrect	35	0	49	17
972,partial	0	17	0	0
973,missed	36	36	36	36
974,spurious	167	167	167	167
975,possible	275	275	275	275
976,actual	406	406	406	406
977,precision	0.502	0.568	0.468	0.547
978,recall	0.742	0.838	0.691	0.807
979,f1	0.599	0.677	0.558	0.652
