Measure	ent_type	partial	strict	exact
correct	25	24	23	24
incorrect	1	0	3	2
partial	0	2	0	0
missed	4	4	4	4
spurious	42	42	42	42
possible	30	30	30	30
actual	68	68	68	68
precision	0.368	0.368	0.338	0.353
recall	0.833	0.833	0.767	0.8
f1	0.51	0.51	0.469	0.49
