Measure	ent_type	partial	strict	exact
correct	37	33	30	33
incorrect	3	0	10	7
partial	0	7	0	0
missed	6	6	6	6
spurious	123	123	123	123
possible	46	46	46	46
actual	163	163	163	163
precision	0.227	0.224	0.184	0.202
recall	0.804	0.793	0.652	0.717
f1	0.354	0.349	0.287	0.316
